PDB_ID,UniProt_ID,Protein_Class_Uniprot
1c9w,O08782,Oxidoreductase
1cbf,O87696,Methyltransferase
1cbk,P43777,Kinase
1cc1,P13065,Oxidoreductase
1cc5,P11732,UNKNOWN
1ccr,Q0DI31,UNKNOWN
1cdk,P36887,Kinase
1cdo,P26325,Oxidoreductase
1ce8,P00968,Ligase
1cer,P00361,Oxidoreductase
1cf2,P10618,Oxidoreductase
1cfv,P18524,UNKNOWN
1cgh,P08311,Antibiotic
1chm,P38488,Hydrolase
1chw,P30074,Acyltransferase
1ci3,P95522,UNKNOWN
1ci9,Q9KX40,Hydrolase
1cip,P10824,Hydrolase
1cjc,P08165,Oxidoreductase
1cjw,Q29495,Acyltransferase
1ckm,Q84424,Nucleotidyltransferase
1cle,P32947,Hydrolase
1cm8,P53778,Kinase
1cno,P82903,UNKNOWN
1co6,P00083,UNKNOWN
1cot,P00096,UNKNOWN
1coy,P22637,Isomerase
1coz,P27623,Nucleotidyltransferase
1cpq,P00147,UNKNOWN
1cqx,P39662,Oxidoreductase
1cr1,P03692,DNA-binding
1cr5,P18759,UNKNOWN
1crb,P02696,UNKNOWN
1cru,P13650,Oxidoreductase
1csh,P23007,Transferase
1csn,P40233,Kinase
1ct5,P38197,UNKNOWN
1ct9,P22106,Ligase
1ctj,Q09099,UNKNOWN
1ctt,P0ABF6,Hydrolase
1cvr,P95493,Hydrolase
1cvz,P00784,Hydrolase
1cx4,P12369,UNKNOWN
1cxc,P0C0X8,UNKNOWN
1cxl,P43379,Glycosyltransferase
1cxv,P33435,Hydrolase
1cxy,P82291,UNKNOWN
1cy1,P06612,DNA-binding
1cyc,P00025,UNKNOWN
1cyd,P08074,Oxidoreductase
1cyi,P08197,UNKNOWN
1cyo,P00171,UNKNOWN
1cza,P19367,Allosteric enzyme
1czj,P38554,UNKNOWN
1czn,P10340,UNKNOWN
1czp,P0A3C8,UNKNOWN
1czs,P12259,UNKNOWN
1d06,P10955,Kinase
1d0l,P41052,Lyase
1d1g,Q60034,Oxidoreductase
1d1q,P40347,Hydrolase
1d1t,P40394,Oxidoreductase
1d2e,P49410,Elongation factor
1d2f,P23256,Lyase
1d2n,P18708,Hydrolase
1d2v,P05164,Oxidoreductase
1d3v,P07824,Hydrolase
1d4d,P83223,Oxidoreductase
1d4o,P11024,Translocase
1d4x,P0DM41,Hydrolase
1d5c,Q26000,UNKNOWN
1d6a,P10297,Hydrolase
1d6v,P01857,UNKNOWN
1d6z,P46883,Oxidoreductase
1d7o,P80030,Oxidoreductase
1d7u,P16932,Decarboxylase
1d7x,P08254,Hydrolase
1d8d,Q02293,Prenyltransferase
1dad,P13000,Ligase
1dar,Q5SHN5,Elongation factor
1dbt,P25971,Decarboxylase
1dcp,P61459,Activator
1ddg,P38038,Oxidoreductase
1ddt,P00588,Glycosyltransferase
1de6,P32170,Isomerase
1ded,P05618,Glycosyltransferase
1del,P04531,Kinase
1dfo,P0A825,Transferase
1dgf,P04040,Mitogen
1dhr,P11348,Oxidoreductase
1dia,P11586,Hydrolase
1dih,P04036,Oxidoreductase
1dim,P29768,Glycosidase
1dje,P12998,Transferase
1djl,Q13423,Translocase
1djp,P10182,Hydrolase
1dk0,Q54450,UNKNOWN
1dku,P14193,Allosteric enzyme
1dl5,Q56308,Methyltransferase
1dlj,P0C0F4,Oxidoreductase
1dlw,P15160,UNKNOWN
1dly,Q08753,UNKNOWN
1dmh,P07773,Dioxygenase
1dms,Q52675,Oxidoreductase
1dmy,P23589,Lyase
1dnl,P0AFI7,Oxidoreductase
1dnp,P00914,DNA-binding
1doi,P00217,UNKNOWN
1dqn,Q24973,Glycosyltransferase
1dr1,P00378,Oxidoreductase
1ds1,Q05581,Oxidoreductase
1dss,P56649,Oxidoreductase
1dt1,Q5SME3,UNKNOWN
1dtl,P09860,Muscle protein
1duv,P04391,Allosteric enzyme
1duw,Q9XCU0,UNKNOWN
1dw0,P81238,UNKNOWN
1dxy,P17584,Oxidoreductase
1dzm,P81245,UNKNOWN
1dzt,P26394,Isomerase
1e12,P0DMH7,Photoreceptor protein
1e19,P95474,Kinase
1e24,P0A8N5,Aminoacyl-tRNA synthetase
1e29,Q55013,UNKNOWN
1e2k,P0DTH5,Kinase
1e2s,P15289,Hydrolase
1e2v,P23577,UNKNOWN
1e3i,Q9QYY9,Oxidoreductase
1e3z,P00692,Glycosidase
1e4e,P25051,Ligase
1e4i,P22073,Glycosidase
1e59,P62707,Isomerase
1e5d,Q9F0J6,Oxidoreductase
1e5q,Q9P4R4,Oxidoreductase
1e6a,P00817,Hydrolase
1e6q,P29736,Glycosidase
1e6u,P32055,Isomerase
1e6w,O70351,Oxidoreductase
1e7u,O02697,Kinase
1e7w,Q01782,Oxidoreductase
1e8c,P22188,Ligase
1e8d,P52705,Lyase
1e8g,P56216,Oxidoreductase
1e8m,P23687,Hydrolase
1e8u,Q9Q2W5,Hemagglutinin
1e93,P42321,Oxidoreductase
1e9a,P23919,Kinase
1e9l,O35744,Glycosidase
1eag,P0CS83,Aspartyl protease
1ebf,P31116,Oxidoreductase
1ec8,P0AES2,Lyase
1eca,P02229,UNKNOWN
1edo,Q93X62,Oxidoreductase
1ee0,P48391,Acyltransferase
1ee2,P00328,Oxidoreductase
1efd,P07822,UNKNOWN
1efh,Q06520,Transferase
1efi,P32890,Enterotoxin
1eft,Q01698,Elongation factor
1eg2,P14751,DNA-binding
1eg5,Q9X218,Aminotransferase
1eg9,P0A110,Dioxygenase
1egd,P11310,Oxidoreductase
1egh,P0A731,Lyase
1ehi,Q03ZI1,Ligase
1eix,P08244,Decarboxylase
1ej0,P0C0R7,Methyltransferase
1ej2,O26253,Nucleotidyltransferase
1ejb,P50861,Transferase
1eje,O26255,UNKNOWN
1ek0,P36017,UNKNOWN
1ek6,Q14376,Isomerase
1ekx,P0A786,Transferase
1elu,Q9ZHG9,UNKNOWN
1elv,P09871,Hydrolase
1emy,P02186,Muscle protein
1eoc,P20372,Dioxygenase
1eoi,Q9S1A6,Hydrolase
1epb,P06911,UNKNOWN
1eq2,P67910,Isomerase
1esq,P39593,Kinase
1esw,O87172,Glycosyltransferase
1et0,P28305,Lyase
1etp,Q52369,UNKNOWN
1etr,P00735,Hydrolase
1eua,P0A955,Lyase
1ev4,P00502,Isomerase
1evl,P0A8M3,Aminoacyl-tRNA synthetase
1ew9,P00634,Hydrolase
1ewj,P13081,UNKNOWN
1ex7,P15454,Kinase
1exw,P45478,Hydrolase
1eye,P9WND1,Transferase
1eyq,P28012,Isomerase
1eyx,Q7SIF9,UNKNOWN
1ez0,Q56694,Oxidoreductase
1ez4,P56511,Oxidoreductase
1f06,P04964,Oxidoreductase
1f0x,P06149,Oxidoreductase
1f0y,Q16836,Oxidoreductase
1f1c,P82603,UNKNOWN
1f1v,Q44048,Dioxygenase
1f28,P13100,Methyltransferase
1f2d,Q7M523,Hydrolase
1f2u,P58301,Hydrolase
1f3b,P13745,Isomerase
1f3d,A2NHM3,UNKNOWN
1f3l,O70467,Methyltransferase
1f3t,P07805,Decarboxylase
1f42,P29460,Cytokine
1f52,P0A1P6,Ligase
1f5f,P04278,UNKNOWN
1f5n,P32455,Hydrolase
1f5v,P17117,Oxidoreductase
1f6b,Q9QVY3,Hydrolase
1f74,P44539,Lyase
1f7k,P16088,Aspartyl protease
1f7l,P96618,Transferase
1f86,P02766,Hormone
1f8d,P03472,Glycosidase
1f8s,P81382,Antibiotic
1f8y,Q9R5V5,Transferase
1f99,P59859,UNKNOWN
1f9a,Q57961,Nucleotidyltransferase
1f9v,P17119,Isomerase
1fao,Q9UN19,UNKNOWN
1fbl,P21692,Hydrolase
1fc4,P0AB77,Acyltransferase
1fcj,P0A1E3,Allosteric enzyme
1fcy,P13631,DNA-binding
1fdq,O15540,UNKNOWN
1fdr,P28861,Oxidoreductase
1ffy,P41972,Aminoacyl-tRNA synthetase
1fg7,P06986,Aminotransferase
1fgy,O08967,Guanine-nucleotide releasing factor
1fh9,P07986,Glycosidase
1fiw,Q9GL10,Hydrolase
1fk7,P19656,UNKNOWN
1fk8,P80702,Oxidoreductase
1fkl,P18203,Isomerase
1flr,P01865,UNKNOWN
1fm4,P43185,Pathogenesis-related protein
1fmb,P32542,Aspartyl protease
1fmc,P0AET8,Oxidoreductase
1fmj,Q26490,Transferase
1fnd,P00455,Oxidoreductase
1fnn,Q8ZYK1,UNKNOWN
1fp1,P93324,Methyltransferase
1fp2,O24529,Methyltransferase
1fq5,P07267,Aspartyl protease
1fqo,P0A759,Allosteric enzyme
1fqt,P37332,UNKNOWN
1fr6,Q46041,Hydrolase
1frb,P45377,Oxidoreductase
1frd,P11053,UNKNOWN
1frr,P00235,UNKNOWN
1frw,P32173,Transferase
1fsg,Q26997,Glycosyltransferase
1ft5,Q57142,UNKNOWN
1fth,P0A2W6,Transferase
1fue,Q9ZK53,UNKNOWN
1fui,P69922,Isomerase
1fuq,P05042,Allosteric enzyme
1fut,P10282,Endonuclease
1fvi,A7RCB1,UNKNOWN
1fwe,P18314,Hydrolase
1fwu,Q61830,Receptor
1fxo,Q9HU22,Nucleotidyltransferase
1fxy,P07477,Hydrolase
1fzq,Q9WUL7,UNKNOWN
1g0h,Q57573,Hydrolase
1g0o,Q12634,Oxidoreductase
1g16,P07560,UNKNOWN
1g1a,Q9EU31,Lyase
1g29,Q9YGA6,Translocase
1g2n,Q7SIF6,Receptor
1g3q,Q8U3I1,UNKNOWN
1g41,P43773,Chaperone
1g51,P36419,Aminoacyl-tRNA synthetase
1g55,O14717,Methyltransferase
1g60,P23192,DNA-binding
1g63,P30197,Lyase
1g64,P31570,Transferase
1g67,P39594,Transferase
1g6h,Q58663,UNKNOWN
1g6o,Q7BK04,UNKNOWN
1g6s,P0A6D3,Transferase
1g7c,P02994,Actin-binding
1g7s,O26359,Initiation factor
1g98,Q9N1E2,Cytokine
1g99,P38502,Kinase
1g9b,P10844,Hydrolase
1g9r,Q93EK7,Glycosyltransferase
1gad,P0A9B2,Oxidoreductase
1gai,P69327,Glycosidase
1gaw,Q9SLP6,Oxidoreductase
1gc5,Q7M537,Kinase
1gck,Q56232,Aminotransferase
1gco,P40288,Oxidoreductase
1gd9,O59096,Aminotransferase
1gdj,P02240,UNKNOWN
1gdv,Q8WKJ8,UNKNOWN
1geg,Q48436,Oxidoreductase
1ges,P06715,Oxidoreductase
1gg6,P00766,Hydrolase
1ghe,P16966,Acyltransferase
1ghp,P00807,Hydrolase
1gic,P02866,Antiviral protein
1gj7,P00749,Hydrolase
1gk8,P00877,Lyase
1gm7,P06875,Hydrolase
1gnl,Q01770,Oxidoreductase
1gnt,P31101,Oxidoreductase
1gnw,P46422,Oxidoreductase
1goj,P48467,Motor protein
1gox,P05414,Oxidoreductase
1goy,P00649,Endonuclease
1gp6,Q96323,Dioxygenase
1gpe,P81156,Oxidoreductase
1gpm,P04079,Ligase
1gpu,P23254,Transferase
1gq2,P40927,Oxidoreductase
1gqt,P0A9J6,Kinase
1gr0,P9WKI1,Isomerase
1gsa,P04425,Ligase
1gsj,P0A6C8,Kinase
1gsu,P20136,Transferase
1gt6,O59952,Hydrolase
1gte,Q28943,Oxidoreductase
1gtk,P06983,Transferase
1gtv,P9WKE1,Kinase
1gu2,Q9RQB9,UNKNOWN
1gup,P09148,Nucleotidyltransferase
1gv0,P80039,Oxidoreductase
1gv4,Q9Z0X1,DNA-binding
1gve,P38918,Oxidoreductase
1gvf,P0AB74,Lyase
1gvh,P24232,Oxidoreductase
1gw1,P49424,Glycosidase
1gwc,O04941,Transferase
1gwh,P29422,Oxidoreductase
1gwi,Q9L142,Monooxygenase
1gwn,P61588,UNKNOWN
1gws,P24092,UNKNOWN
1gxu,P30131,Ligase
1gy8,Q8T8E9,Isomerase
1gy9,P37610,Dioxygenase
1gye,P95470,Glycosidase
1gym,P14262,Lyase
1gyo,Q9R638,UNKNOWN
1gz6,P97852,Isomerase
1gzg,Q59643,Lyase
1h0a,O88339,UNKNOWN
1h0h,Q934F5,Oxidoreductase
1h16,P09373,Acyltransferase
1h1i,Q7SIC2,Dioxygenase
1h1o,P74917,UNKNOWN
1h21,P81040,UNKNOWN
1h2b,Q9Y9P9,Oxidoreductase
1h2f,Q9ALU0,UNKNOWN
1h2t,P52298,RNA-binding
1h3f,P83453,Aminoacyl-tRNA synthetase
1h41,B3PC73,Glycosidase
1h46,Q7LHI2,Glycosidase
1h48,P62617,Lyase
1h4g,Q7SIE3,Glycosidase
1h4h,Q7SIE2,Glycosidase
1h4k,P52197,Transferase
1h52,P03950,Developmental protein
1h5q,O93868,Oxidoreductase
1h5r,P37744,Nucleotidyltransferase
1h65,Q41009,Hydrolase
1h6d,Q07982,Oxidoreductase
1h6h,Q15080,UNKNOWN
1h70,Q9I4E3,Hydrolase
1h72,Q58504,Kinase
1h78,P07071,Oxidoreductase
1h7f,P42216,Nucleotidyltransferase
1h7n,P05373,Lyase
1h8p,P02784,UNKNOWN
1h8y,Q51400,Hydrolase
1h97,P80721,UNKNOWN
1h9a,P11411,Oxidoreductase
1h9g,P0A8V6,Activator
1h9s,P0A9G8,Activator
1hbk,Q8IK57,UNKNOWN
1hcz,P36438,UNKNOWN
1hdc,P19992,Oxidoreductase
1hdg,P17721,Oxidoreductase
1hdi,Q7SIB7,Kinase
1hdo,P30043,Oxidoreductase
1hdr,P09417,Oxidoreductase
1hfc,P03956,Hydrolase
1hgx,P51900,Glycosyltransferase
1hh5,P00137,UNKNOWN
1hj1,Q62986,Activator
1hkn,P05230,Developmental protein
1hku,Q9Z2F5,Oxidoreductase
1hl7,Q8GJP7,Oxidoreductase
1hlb,P80018,UNKNOWN
1hlk,P25910,Hydrolase
1hm2,Q59288,Lyase
1hm9,Q97R46,Acyltransferase
1hn4,P00592,Hydrolase
1ho4,P0A794,Transferase
1hp1,P07024,Hydrolase
1hro,P00080,UNKNOWN
1hsk,P61431,Oxidoreductase
1htp,P16048,UNKNOWN
1htw,P44492,UNKNOWN
1huq,P35278,Hydrolase
1hv9,P0ACC7,Acyltransferase
1hvc,Q4VE97,Aspartyl protease
1hy3,P49888,Transferase
1hye,Q60176,Oxidoreductase
1hyh,P14295,Oxidoreductase
1hyo,P35505,Hydrolase
1hyu,P19480,Oxidoreductase
1i0r,O29428,Oxidoreductase
1i0v,P00651,Endonuclease
1i1d,P43577,Acyltransferase
1i1k,P0AB80,Aminotransferase
1i1n,P22061,Methyltransferase
1i3d,P69891,UNKNOWN
1i4y,P02244,UNKNOWN
1i52,Q46893,Nucleotidyltransferase
1i54,P81459,UNKNOWN
1i58,Q56310,Kinase
1i5g,O77093,UNKNOWN
1i5r,P14061,Oxidoreductase
1i6k,P00953,Aminoacyl-tRNA synthetase
1i6t,P0A7A9,Hydrolase
1i76,P22894,Hydrolase
1i79,P17707,Decarboxylase
1i7e,P50586,UNKNOWN
1i7h,P0A9R4,UNKNOWN
1i7q,P00897,Lyase
1i7z,P01834,UNKNOWN
1i8o,P00091,UNKNOWN
1i8t,P37747,Isomerase
1i9g,P9WFZ1,Methyltransferase
1i9z,O43001,Hydrolase
1ia9,Q923J1,Calcium channel
1ibj,P53780,Lyase
1ibv,P00862,Decarboxylase
1icc,P04166,UNKNOWN
1icp,Q9XG54,Oxidoreductase
1id0,P23837,Hydrolase
1igw,P0A9G6,Lyase
1ii0,P08690,Translocase
1ii7,Q8U1N9,Endonuclease
1iic,P14743,Acyltransferase
1iim,P26393,Nucleotidyltransferase
1iiu,P41263,UNKNOWN
1ik3,P09186,Dioxygenase
1im8,P43985,Transferase
1in4,Q56313,DNA-binding
1io7,Q55080,Monooxygenase
1ion,O58346,UNKNOWN
1iqc,P55929,Oxidoreductase
1irj,P06702,Antimicrobial
1is2,P07872,Oxidoreductase
1isj,Q10588,Hydrolase
1it3,Q7SID0,UNKNOWN
1it6,P36873,Hydrolase
1it7,O58843,Glycosyltransferase
1ith,P06148,UNKNOWN
1itk,O59651,Oxidoreductase
1itu,P16444,Dipeptidase
1itz,Q7SIC9,Transferase
1iup,P96965,Hydrolase
1iv2,Q8RQP5,Lyase
1ivd,P06820,Glycosidase
1iw0,P71119,Oxidoreductase
1ix1,Q9I7A8,Hydrolase
1ixe,Q5SIM6,Transferase
1iy8,Q9LBG2,Oxidoreductase
1iyb,Q7XZV5,Endonuclease
1iyk,P30418,Acyltransferase
1iyn,Q8LNY5,Oxidoreductase
1izc,Q9UVD4,Lyase
1izh,Q90EB9,Aspartyl protease
1j02,P06762,Oxidoreductase
1j0a,O57809,Hydrolase
1j0p,P00132,UNKNOWN
1j0x,P46406,Oxidoreductase
1j11,P36924,Glycosidase
1j17,P00763,Hydrolase
1j1b,P49841,Developmental protein
1j3k,P13922,Methyltransferase
1j49,P26297,Oxidoreductase
1j54,P03007,DNA-directed DNA polymerase
1j77,Q9RGD9,UNKNOWN
1j78,P02774,Actin-binding
1j9l,P96112,Hydrolase
1ja1,P00388,Oxidoreductase
1ja9,Q9HFV6,Oxidoreductase
1jak,O85361,Glycosidase
1jay,O29370,Oxidoreductase
1jbw,P15925,Ligase
1jcl,P0A6L0,Lyase
1jcm,P00909,Decarboxylase
1jdl,P81154,UNKNOWN
1je1,P50389,Glycosyltransferase
1jec,P08536,Nucleotidyltransferase
1jeh,P09624,Oxidoreductase
1jf3,P02216,UNKNOWN
1jf4,P15447,UNKNOWN
1jft,P0ACP7,DNA-binding
1jg1,Q8TZR3,Methyltransferase
1jg7,P04547,Glycosyltransferase
1jgl,Q7TS98,UNKNOWN
1jgt,P0DJQ7,Ligase
1jh7,O04147,Hydrolase
1jie,Q53793,UNKNOWN
1jil,A6QHR2,Aminoacyl-tRNA synthetase
1jj7,Q03518,Translocase
1jje,Q79MP6,Hydrolase
1jjv,P44920,Kinase
1jk3,P39900,Hydrolase
1jkx,P08179,Transferase
1jm1,Q53766,UNKNOWN
1jm6,Q64536,Kinase
1jmx,Q8VW85,UNKNOWN
1jni,P44654,UNKNOWN
1jny,P35021,Elongation factor
1joc,Q15075,UNKNOWN
1jp4,Q9Z1N4,Hydrolase
1jq3,Q9WZC2,Transferase
1jq5,P32816,Oxidoreductase
1jqi,P15651,Oxidoreductase
1jqn,P00864,Allosteric enzyme
1jr8,Q12284,Oxidoreductase
1js3,P80041,Decarboxylase
1js8,O61363,UNKNOWN
1jsl,P06608,Hydrolase
1jt2,P10478,Glycosidase
1jub,A2RJT9,Oxidoreductase
1jv1,Q16222,Nucleotidyltransferase
1jw0,Q9L5D6,Hydrolase
1jwb,P12282,Nucleotidyltransferase
1jx4,Q97W02,DNA-binding
1jx6,P54300,UNKNOWN
1jxm,P31016,UNKNOWN
1jyl,Q8DPI6,Nucleotidyltransferase
1jzj,P00282,UNKNOWN
1k0a,P23202,Oxidoreductase
1k1y,O32462,Glycosyltransferase
1k3y,P08263,Isomerase
1k4j,P54656,Transferase
1k4m,P0A752,Nucleotidyltransferase
1k4v,P14769,Glycosyltransferase
1k6e,D4Z2G1,Hydrolase
1k6m,P16118,Hydrolase
1k6x,Q5AU62,Oxidoreductase
1k7w,P24058,Eye lens protein
1k97,P0A6E4,Ligase
1k9f,Q09LY5,Glycosidase
1ka1,P32179,Hydrolase
1kae,P06988,Oxidoreductase
1kao,P10114,Hydrolase
1kb0,Q46444,Oxidoreductase
1kbi,P00175,Oxidoreductase
1kbq,P15559,Oxidoreductase
1kc7,P22983,Kinase
1kcc,P79074,Glycosidase
1kdg,Q01738,Oxidoreductase
1kdo,P0A6I0,Kinase
1kel,P01868,UNKNOWN
1ket,P95780,Lyase
1kev,P25984,Oxidoreductase
1kew,P26391,Lyase
1kfg,P37700,Glycosidase
1kgi,P02767,Hormone
1kgq,P56220,Acyltransferase
1kgz,Q8VP84,Glycosyltransferase
1kht,P43411,Kinase
1khz,Q93K97,Hydrolase
1kj8,P33221,Ligase
1kk1,Q9V1G0,Hydrolase
1kk8,P24733,Actin-binding
1kkr,O66145,Lyase
1kmv,P00374,Oxidoreductase
1knr,P10902,Oxidoreductase
1kny,P05057,Transferase
1ko5,P46859,Kinase
1kol,P46154,Oxidoreductase
1kor,P59846,Ligase
1kp8,P0A6F5,Chaperone
1kpg,P9WPB7,Methyltransferase
1kqn,Q9HAN9,Nucleotidyltransferase
1kqp,P08164,Ligase
1kqr,P12473,Hemagglutinin
1krh,P07771,Oxidoreductase
1krr,P07464,Acyltransferase
1ksh,Q9D0J4,UNKNOWN
1ksl,P0AA43,Isomerase
1kt7,P18902,UNKNOWN
1ktg,Q9U2M7,Hydrolase
1kv9,Q8GR64,Oxidoreductase
1kvk,P17256,Kinase
1kw6,P17297,Dioxygenase
1kww,P19999,UNKNOWN
1ky3,P32939,UNKNOWN
1kya,Q96UT7,Oxidoreductase
1kyq,P15807,Lyase
1kyv,Q9UUB1,Transferase
1kyz,P28002,Methyltransferase
1kzk,P03369,Aspartyl protease
1kzl,Q9Y7P0,Transferase
1l1e,P9WPB3,Methyltransferase
1l1r,Q967M2,Glycosyltransferase
1l2t,Q58206,UNKNOWN
1l3i,O26249,Methyltransferase
1l3l,P33905,Activator
1l5p,P21149,UNKNOWN
1l5y,P13632,Activator
1l6s,P0ACB2,Allosteric enzyme
1l7e,Q2RSB2,Translocase
1l7n,Q58989,Hydrolase
1l8n,Q8VVD2,Glycosidase
1l9k,P12823,Helicase
1lah,P02911,UNKNOWN
1lbf,Q06121,Decarboxylase
1lbt,P41365,Hydrolase
1lbz,O30298,Hydrolase
1lc3,P46844,Oxidoreductase
1lc7,P97084,Lyase
1lcp,P00727,Aminopeptidase
1ldm,P00341,Oxidoreductase
1ldn,P00344,Allosteric enzyme
1lf9,O85672,Glycosidase
1lfk,Q8RN04,Monooxygenase
1lfw,P45494,Dipeptidase
1lgt,P47228,Dioxygenase
1lhs,P56208,Muscle protein
1li4,P23526,Hydrolase
1lic,P04117,UNKNOWN
1lj8,O08355,Oxidoreductase
1lk7,O50083,Isomerase
1lke,P09464,UNKNOWN
1llf,Q6S5M9,Hydrolase
1llo,P23472,Glycosidase
1llp,P49012,Oxidoreductase
1llu,Q9HTD9,Oxidoreductase
1lnx,Q8ZYG5,Ribonucleoprotein
1lo2,Q91Z05,UNKNOWN
1lo7,P56653,Hydrolase
1lob,P04122,UNKNOWN
1loj,O26745,Ribonucleoprotein
1lon,P28650,Ligase
1lox,P12530,Dioxygenase
1lpb,P16233,Hydrolase
1lpc,P24476,Antiviral protein
1lpo,P20261,Hydrolase
1lqa,P0A9T4,Oxidoreductase
1lqt,P9WIQ3,Oxidoreductase
1lqy,O31410,Hydrolase
1lrh,P13689,Receptor
1lrk,P09147,Isomerase
1lrw,P12293,Oxidoreductase
1ls6,P50225,Transferase
1ls9,P83391,UNKNOWN
1lsp,P00717,Antimicrobial
1lss,Q58505,UNKNOWN
1lt8,Q93088,Methyltransferase
1lth,E8ME30,Allosteric enzyme
1ltq,P06855,Hydrolase
1lvg,Q64520,Kinase
1lvl,P09063,Oxidoreductase
1lw4,Q9X266,Lyase
1lwj,P80099,Glycosyltransferase
1lxk,Q54873,Lyase
1lxy,P23793,Hydrolase
1lyc,P28314,Oxidoreductase
1m0w,Q08220,Ligase
1m15,P51541,Kinase
1m1b,P56839,Isomerase
1m1o,P07097,Acyltransferase
1m1q,Q8EDL6,UNKNOWN
1m2d,O66511,UNKNOWN
1m2k,O28597,Transferase
1m2o,P20606,Hydrolase
1m2t,P81446,Hydrolase
1m2x,O08498,Hydrolase
1m32,P96060,Aminotransferase
1m33,P13001,Hydrolase
1m3q,O15527,Glycosidase
1m3u,P31057,Transferase
1m40,P62593,Hydrolase
1m48,P60568,Cytokine
1m4d,P9WQG9,Acyltransferase
1m6d,Q9UBX1,Hydrolase
1m6y,Q9WZX6,Methyltransferase
1m7b,P61587,UNKNOWN
1m7g,Q12657,Kinase
1m7s,P46206,Oxidoreductase
1m9h,P06632,Oxidoreductase
1m9n,P31335,Hydrolase
1mai,P10688,Hydrolase
1mba,P02210,Muscle protein
1mbq,Q8AV11,Hydrolase
1mbs,P68080,Muscle protein
1mbx,P0A8Q6,UNKNOWN
1mdb,P40871,Ligase
1mdo,Q8ZNF3,Aminotransferase
1me3,P25779,Hydrolase
1me8,P50097,Oxidoreductase
1meg,P10056,Hydrolase
1mfi,P34884,Cytokine
1mfu,P0DUB6,Glycosidase
